policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,subminute_extra_cold,subminute_extra_per_1k,cold_plus_subminute_per_1k,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit,part,budget_gb,seed,max_gap,full_warm_gb,n_apps
BALM G=60,8936612,12495810846.0,90613408,0.7151686361242156,0.0986235061371933,0.8380082970296702,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2315491792678751,767.849279930478,767.9913330078125,768.0,257997.35805664063,88.80924340259462,856.6585233330726,29839.905783271788,24274,1.0,5644342.0,0.45169873884629064,0.0005269554632390915,26.2968372979908,24912745,1.9936877492007454,5502639,0.22087646303127176,74369052,33849357,2.7088563853249608,0.9998037499094766,11269.796964135126,12033.0,12347.0,3.227417800457946e-05,0.04403671938338955,0.3976518690126884,988248.8864124012,0.07908641532684108,0.7942550514510566,113513471,1281528,10633826,1497872,5830470,1400070,3977368,1379226,3557702,1614247,3071422,1671119,3999771,2631188,8178282,6145855,7296092,6161816,67129433,66558747,gap,768,0,60,3831.793,24274
BALM G=120,8945381,12495810846.0,90613408,0.7158703913050574,0.09872027989500186,0.8380082961814889,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23154935893048698,767.8507395941114,767.9912109375,768.0,257997.8485036214,88.93809331559709,856.7888329097084,29883.199354040622,24274,1.0,5643653.0,0.45164360036760437,0.0005261072818846659,26.322640920914797,24988004,1.9997104876150427,5559387,0.22248223587606278,74314033,33933385,2.7155808789201004,0.9998056505131657,11913.265439753955,12790.0,13109.0,3.205129633911732e-05,0.04195087372349391,0.37653703985198705,990241.1723966694,0.07924585163784331,0.7951162429429007,126333158,1339640,10729434,1501642,5847803,1401955,3987502,1380652,3566325,1616925,3070959,1670869,4001094,2632111,8181063,6148281,7298982,6164452,67143198,66572427,gap,768,0,120,3831.793,24274
BALM G=360,8955189,12495810846.0,90613408,0.7166552943514363,0.09882851994707008,0.8380082958567416,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2315494635887627,767.850671320113,767.9910888671875,768.0,257997.82556355794,89.0696611906801,856.9203325107931,29927.406160068513,24274,1.0,5645710.0,0.45180821553546746,0.0005257825347359708,26.35150190091691,25060771,2.005533799194963,5615696,0.22408312976484243,74258444,34015960,2.722189093546399,0.9998055616147304,13485.778659655736,14490.0,14697.0,3.2065752752219314e-05,0.037272247305388535,0.33288414839336383,991782.4236748434,0.0793691930757995,0.7960244874272359,157889004,1386981,10822410,1503745,5863167,1403083,3998817,1381856,3574732,1618871,3071710,1671161,4002259,2632923,8182524,6149513,7301163,6166515,67154026,66583174,gap,768,0,360,3831.793,24274
BALM G=1440,8962640,12495810846.0,90613408,0.7172515741840799,0.09891074839608725,0.838008295111979,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23154951472910276,767.8502352305821,767.9910308837891,768.0,257997.67903747558,89.19025951470175,857.0404947452839,29967.927196939785,24274,1.0,5643865.0,0.451660566053354,0.0005250377721837474,26.373427182523333,25127863,2.010902958573802,5659867,0.2252426718499699,74205309,34090503,2.728154532757882,0.9998049937898205,17196.800535740862,18396.0,18449.0,3.245695140558132e-05,0.029398154082086222,0.2612758476207748,994010.5481742766,0.0795475027931034,0.7967990769771833,232543196,1432801,10897788,1504832,5882868,1403847,4016619,1383115,3589315,1621478,3073826,1673222,4006246,2636381,8187577,6154055,7311164,6176080,67161703,66590766,gap,768,0,1440,3831.793,24274
BALM G=60,2422684,12495810846.0,90613408,0.19387969535210425,0.026736484737446362,0.83800792867434,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145605046019901,1023.8471251714798,1023.991943359375,1024.0,344012.63405761716,23.953032756386516,1047.8001579278664,8048.21900614587,24274,1.0,1700815.0,0.13611081513325268,0.00015860013307760634,7.128979860874068,24703948,1.976978389354214,9820654,0.3975337869072587,104980981,27126632,2.1708580847063184,0.9998507081752732,11269.796964135126,12033.0,12347.0,8.564356528518312e-06,0.04403671938338955,0.3976518690126884,500602.7187429679,0.04006164345095016,0.23394133880305443,113513471,1281528,10633826,1497872,5830470,1400070,3977368,1379226,3557702,1614247,3071422,1671119,3999771,2631188,8178282,6145855,7296092,6161816,67129433,66558747,gap,1024,0,60,3831.793,24274
BALM G=120,2420243,12495810846.0,90613408,0.19368434988552483,0.02670954611926747,0.8380079267466239,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145592144816352,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,1689531.0,0.135207792501183,0.00015667241708706967,7.121796984427783,25170738,2.014334108463024,10181802,0.40450947445402674,104547568,27590981,2.2080184583485494,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.04195087372349391,0.37653703985198705,505747.1655252823,0.040473337165404966,0.2341576870509298,126333158,1339640,10729434,1501642,5847803,1401955,3987502,1380652,3566325,1616925,3070959,1670869,4001094,2632111,8181063,6148281,7298982,6164452,67143198,66572427,gap,1024,0,120,3831.793,24274
BALM G=360,2422435,12495810846.0,90613408,0.19385976867403037,0.026733736799746017,0.8380079258021808,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145584120527202,1023.8476573066106,1023.9913970947266,1024.0,344012.81285502115,24.03734456209488,1047.8850018687056,8076.54777286388,24274,1.0,1685237.0,0.1348641573379335,0.00015572797384510165,7.128247154509823,25477455,2.0388796944822127,10423437,0.4091239489972605,104258785,27899890,2.232739463156243,0.9998512278384869,13485.778659655736,14490.0,14697.0,8.678048573507776e-06,0.037272247305388535,0.33288414839336383,509071.0380503562,0.04073933611225506,0.23459910478628546,157889004,1386981,10822410,1503745,5863167,1403083,3998817,1381856,3574732,1618871,3071710,1671161,4002259,2632923,8182524,6149513,7301163,6166515,67154026,66583174,gap,1024,0,360,3831.793,24274
BALM G=1440,2418246,12495810846.0,90613408,0.19352453632683614,0.02668750743819281,0.8380079241500972,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2314556379059408,1023.8473454399715,1023.9917602539062,1024.0,344012.7080678304,24.04879432889256,1047.896139768864,8080.3948945079,24274,1.0,1673449.0,0.13392080118879868,0.00015407589037843154,7.11592062053461,25621257,2.0503877111905506,10519990,0.410596170203515,104122412,28039503,2.243912247517387,0.9998509232812222,17196.800535740862,18396.0,18449.0,8.813805356648847e-06,0.029398154082086222,0.2612758476207748,511961.8501597957,0.040970678611358655,0.2344952149381948,232543196,1432801,10897788,1504832,5882868,1403847,4016619,1383115,3589315,1621478,3073826,1673222,4006246,2636381,8187577,6154055,7311164,6176080,67161703,66590766,gap,1024,0,1440,3831.793,24274
