policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,subminute_extra_cold,subminute_extra_per_1k,cold_plus_subminute_per_1k,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit,part,budget_gb,seed,penalty_mode,full_warm_gb,n_apps
BALM-JIT (hazard),2420243,12495810846.0,90613408,0.19368434988552483,0.02670954611926747,0.8380079267466239,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145592144816352,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,1689531.0,0.135207792501183,0.00015667241708706967,7.121796984427783,25170738,2.014334108463024,10181802,0.40450947445402674,104547568,27590981,2.2080184583485494,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.04195087372349391,0.37653703985198705,505747.1655252823,0.040473337165404966,0.2341576870509298,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,penmode,1024,0,memory,3831.793,24274
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035417,0.18314917589238008,0.838009381044736,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23193114793820455,1023.7515703625149,1023.9915771484375,1024.0009765625,343980.527641805,123.97276123979735,1147.7243316023123,41654.84777657191,24274,1.0,12804786.0,1.024726298901916,0.0016109705290073906,48.834646711943414,17827516,1.4266794063793562,15154208,0.8500459626568277,113688247,34423287,2.754786177882898,0.9997573929321435,11913.265439753955,12790.0,13109.0,,,,300110.20685231936,0.024016865375998134,1.35212363687954,,,,,,,,,,,,,,,,,,,,,penmode,1024,0,memory,3831.793,24274
TTL-20m,1009201,12495810846.0,90613408,0.08076314634060362,0.01113743564307834,0.83800787128188,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2314371861988728,1552.8695860847595,1723.9231567382812,1801.6561279296875,521764.18092447915,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,915260.0,0.07324534688303012,0.00010120767307660644,2.9696706646735485,0,0.0,0,0.0,200186826,1009201,0.08076314634060362,,0.0,0.0,0.0,,,,0.0,0.0,0.08076314634060362,,,,,,,,,,,,,,,,,,,,,penmode,1024,0,memory,3831.793,24274
BALM-JIT (hazard),2378515,12495810846.0,90613408,0.1903449907583532,0.026249040318624812,0.8380079178444653,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145398349068388,1023.8469166498336,1023.9915771484375,1024.0,344012.5639943441,24.516254841284233,1048.3631714911178,8237.461626671504,24274,1.0,1659744.0,0.13282403362654102,0.00014777025832816182,6.999008345201803,25081632,2.00720323867809,10140704,0.40430798123503287,104939919,27460147,2.197548229436443,0.9998505045408531,11913.265439753955,12790.0,13109.0,8.23351429002213e-06,0.04195087372349391,0.37653703985198705,498927.3358943007,0.03992756789000299,0.23027255864835622,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,penmode,1024,0,constant,3831.793,24274
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035417,0.18314917589238008,0.8380093482234336,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23192717054926087,1023.7515703625149,1023.9915771484375,1024.0009765625,343980.527641805,123.97276123979735,1147.7243316023123,41654.84777657191,24274,1.0,12775384.0,1.0223733503528099,0.001578149226714487,48.834646711943414,17827516,1.4266794063793562,15154208,0.8500459626568277,113688247,34423287,2.754786177882898,0.9997573929321435,11913.265439753955,12790.0,13109.0,,,,294357.9472063145,0.02355653033116619,1.351663301834708,,,,,,,,,,,,,,,,,,,,,penmode,1024,0,constant,3831.793,24274
TTL-20m,1009201,12495810846.0,90613408,0.08076314634060362,0.01113743564307834,0.8380078687510811,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23143692990658093,1552.8695860847595,1723.9231567382812,1801.6561279296875,521764.18092447915,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,911684.0,0.07295917097623454,9.867687420858759e-05,2.9696706646735485,0,0.0,0,0.0,200186826,1009201,0.08076314634060362,,0.0,0.0,0.0,,,,0.0,0.0,0.08076314634060362,,,,,,,,,,,,,,,,,,,,,penmode,1024,0,constant,3831.793,24274
BALM-JIT (hazard),2378515,12495810846.0,90613408,0.1903449907583532,0.026249040318624812,0.8380079178444653,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145398349068388,1023.8469166498336,1023.9915771484375,1024.0,344012.5639943441,24.516254841284233,1048.3631714911178,8237.461626671504,24274,1.0,1659744.0,0.13282403362654102,0.00014777025832816182,6.999008345201803,25081632,2.00720323867809,10140704,0.40430798123503287,104939919,27460147,2.197548229436443,0.9998505045408531,11913.265439753955,12790.0,13109.0,8.23351429002213e-06,0.04195087372349391,0.37653703985198705,498927.3358943007,0.03992756789000299,0.23027255864835622,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,penmode,1024,0,independent,3831.793,24274
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035417,0.18314917589238008,0.8380093482234336,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23192717054926087,1023.7515703625149,1023.9915771484375,1024.0009765625,343980.527641805,123.97276123979735,1147.7243316023123,41654.84777657191,24274,1.0,12775384.0,1.0223733503528099,0.001578149226714487,48.834646711943414,17827516,1.4266794063793562,15154208,0.8500459626568277,113688247,34423287,2.754786177882898,0.9997573929321435,11913.265439753955,12790.0,13109.0,,,,294357.9472063145,0.02355653033116619,1.351663301834708,,,,,,,,,,,,,,,,,,,,,penmode,1024,0,independent,3831.793,24274
TTL-20m,1009201,12495810846.0,90613408,0.08076314634060362,0.01113743564307834,0.8380078687510811,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23143692990658093,1552.8695860847595,1723.9231567382812,1801.6561279296875,521764.18092447915,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,911684.0,0.07295917097623454,9.867687420858759e-05,2.9696706646735485,0,0.0,0,0.0,200186826,1009201,0.08076314634060362,,0.0,0.0,0.0,,,,0.0,0.0,0.08076314634060362,,,,,,,,,,,,,,,,,,,,,penmode,1024,0,independent,3831.793,24274
