policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_per_app_p50,cold_per_app_p90,cold_per_app_p99,cold_per_app_max,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,eval_start,eval_minutes,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,audited_candidates,predictor_brier,predictor_auroc,predictor_auprc,knapsack_gap_max,subminute_extra_cold,subminute_extra_per_1k,cold_plus_subminute_per_1k,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit,budget_gb,seed,n_apps,full_warm_gb,sampling,train_rows,train_prevalence
Planner-Learned,35940191,7881670201.0,57927111,4.55997143796248,0.6204381744499566,0.7983216302638891,0.2216347665069394,3.1386143822518155,34.61335430466596,57.07322071880443,0.2351839172365381,255.91875282216955,255.99305801391603,256.0,55278.450609588625,477.4100880493352,733.3288408715048,103120.5790186564,21555,0.8879871467413694,85.0,4320.0,12960.0,12960.0,22453767.0,2.8488589889426152,0.0040130004867204,164.51159905889247,7200,12960,5630064,0.7143237228177445,611272,0.1085728332750746,17869057,41570255,5.274295160780224,0.9996826282115998,11913.265439753955,12790.0,13109.0,0.0001881376636056,0.0624440580274267,0.3778343540036212,153031299.0,0.062444173479732,0.9650117779994112,0.9511756828923486,0.0014789097388237,412751.8042932666,0.0523685708444002,4.61234000880688,82414776,2511571,7951381,1043438,3439993,1108581,2435165,1403049,3527063,2650188,2636075,1962728,3501801,2857692,3780536,3180746,4324019,3660953,39020490,37441536,256,0,24274,3831.793,random,2906950,0.3688842257348768
Planner-Learned,6856927,7881670201.0,57927111,0.8699840040414297,0.1183716377638788,0.7983183540934435,0.2216347665069394,3.1386143822518155,34.61335430466596,57.07322071880443,0.2341361473215963,767.9066258324517,767.9925537109375,768.0,165867.83117980958,100.14135677019756,868.0479826026492,21630.533062362672,19969,0.8226497487023152,19.0,899.0,2660.540000000001,12393.0,4773920.0,0.6056990305676963,0.0007368300410443,31.386700905404048,7200,12960,13655449,1.7325577766838611,5724174,0.4191860699710423,51212289,20512376,2.60254178072529,0.9998784190526716,11913.265439753955,12790.0,13109.0,2.777668970604979e-05,0.0624440580274267,0.3778343540036212,153031299.0,0.062444173479732,0.9650117779994112,0.9511756828923486,0.0003834860337776,430159.9293067818,0.0545772556243478,0.9245612596657776,82414776,2511571,7951381,1043438,3439993,1108581,2435165,1403049,3527063,2650188,2636075,1962728,3501801,2857692,3780536,3180746,4324019,3660953,39020490,37441536,768,0,24274,3831.793,random,2906950,0.3688842257348768
Planner-Learned,2978723,7881670201.0,57927111,0.3779304289618804,0.0514219153791391,0.7983179509797232,0.2216347665069394,3.1386143822518155,34.61335430466596,57.07322071880443,0.2340314877415716,1023.9131358158442,1023.9921875,1024.0,221165.23733622232,43.544825669644794,1067.457961485489,9405.682344643275,18855,0.7767570239762709,11.0,380.0,1369.2700000000004,7527.0,2240994.0,0.2843298365510993,0.0003337163208569,13.63472119231368,7200,12960,13187770,1.6732202266375953,8707280,0.6602541597252606,74161523,16166493,2.0511506555994754,0.9999151716951604,11913.265439753955,12790.0,13109.0,1.0890211182095254e-05,0.0624440580274267,0.3778343540036212,153031299.0,0.062444173479732,0.9650117779994112,0.9511756828923486,0.0002229424150346,203830.16632758905,0.0258612909611122,0.4037917199229927,82414776,2511571,7951381,1043438,3439993,1108581,2435165,1403049,3527063,2650188,2636075,1962728,3501801,2857692,3780536,3180746,4324019,3660953,39020490,37441536,1024,0,24274,3831.793,random,2906950,0.3688842257348768
Planner-Learned,636222,7881670201.0,57927111,0.0807217231595504,0.0109831474247006,0.7983176840425137,0.2216347665069394,3.1386143822518155,34.61335430466596,57.07322071880443,0.233958159994174,1535.908056631206,1535.9923156738282,1536.0,331756.1402323405,9.12427607573293,1545.0323327069389,1970.8436323583128,15799,0.6508610035428853,3.0,62.0,375.08000000000175,2047.0,486369.0,0.0617088748446098,6.677911120584491e-05,2.9122243278130235,7200,12960,5616778,0.7126380394966744,4810168,0.8563927575560223,125119487,6253000,0.7933597626562249,0.9999401410359412,11913.265439753955,12790.0,13109.0,2.578450480617482e-06,0.0624440580274267,0.3778343540036212,153031299.0,0.062444173479732,0.9650117779994112,0.9511756828923486,6.731620694628871e-05,45187.05581715063,0.0057331827727855,0.0864549059323359,82414776,2511571,7951381,1043438,3439993,1108581,2435165,1403049,3527063,2650188,2636075,1962728,3501801,2857692,3780536,3180746,4324019,3660953,39020490,37441536,1536,0,24274,3831.793,random,2906950,0.3688842257348768
Planner-Learned (stride-30 sampling),5082934,7881670201.0,57927111,0.644905695160284,0.08774706544574612,0.7983180735200794,0.22163476650693947,3.1386143822518155,34.61335430466596,57.07322071880443,0.23406117380256783,1023.9091512703601,1023.9925537109375,1024.0,221164.3766743978,82.27252625624338,1106.1816775266034,17770.865671348573,19156,0.7891571228474912,13.0,522.0,3299.0500000000065,12008.0,3095266.0,0.3927170156913294,0.00045625667707245387,23.266476248020286,7200,12960,16991813,2.155864501643844,12354634,0.727093336067199,72143937,22074747,2.8007701968041276,0.999911280537461,11913.265439753955,12790.0,13109.0,2.5737172361853124e-05,0.09090195078052854,0.3778343540036212,153031299.0,0.09090202559815394,0.9516152937258806,0.9266803882256732,0.0002774284469375697,302460.6765946891,0.038375200798977084,0.6832808959592611,43582786,1172590,18622923,916199,10890088,723218,7159357,698126,5184587,702250,4520807,837859,4052488,950484,4367315,2202576,5862259,4096961,48788689,45520219,1024,0,24274,3831.79296875,stride,2893503,0.6704323444627498
Planner-Learned (stride-30 sampling),999822,7881670201.0,57927111,0.12685407718190822,0.01726000110725356,0.7983177131222778,0.22163476650693947,3.1386143822518155,34.61335430466596,57.07322071880443,0.23396632484232238,1535.90102695418,1535.9915771484375,1536.0,331754.62182210287,17.6243033606697,1553.5253303148497,3806.8495259046554,16236,0.6688638048941254,5.0,84.0,626.5400000000009,6799.0,690735.0,0.08763815059305093,9.585887543440128e-05,4.576556535113015,7200,12960,8785610,1.1146888636478738,7872853,0.8961077261567495,122435182,9785432,1.2415429408297822,0.9999355644232941,11913.265439753955,12790.0,13109.0,9.330004551477454e-06,0.09090195078052854,0.3778343540036212,153031299.0,0.09090202559815394,0.9516152937258806,0.9266803882256732,0.0001596783285568367,60568.681216046396,0.007684752047651226,0.13453882922955945,43582786,1172590,18622923,916199,10890088,723218,7159357,698126,5184587,702250,4520807,837859,4052488,950484,4367315,2202576,5862259,4096961,48788689,45520219,1536,0,24274,3831.79296875,stride,2893503,0.6704323444627498
