policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,part,budget_gb,seed,full_warm_gb,n_apps,cold_median_s
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035415,0.18314917589238,0.8380141423323341,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2322567235890427,1023.7515703625148,1023.9915771484376,1024.0009765625,343980.527641805,123.97276123979736,1147.7243316023123,41654.84777657191,24274,1.0,16546898.0,1.324195620750516,0.0063722581271058,48.834646711943414,coldpen,1024,0,3831.79296875,24274,4.0
BALM-JIT (ours),2829145,12495810846.0,90613408,0.2264074764628523,0.0312221454025876,0.8380086253312745,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2315324710649748,1023.7435911118038,1023.9913940429688,1024.001220703125,343977.8466135661,26.324231157516913,1050.067822269321,8844.941668925683,24274,1.0,2798722.0,0.2239728205309615,0.0008552570675235,8.325030308737157,coldpen,1024,0,3831.79296875,24274,4.0
TTL-20m,1009201,12495810846.0,90613408,0.0807631463406036,0.0111374356430783,0.8380081692989501,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314459465387537,1552.8695860847597,1723.9231567382812,1801.6561279296875,521764.1809244791,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,1008580.0,0.0807134496856483,0.0003992247431328,2.9696706646735485,coldpen,1024,0,3831.79296875,24274,4.0
Scale-to-zero,90613408,12495810846.0,90613408,7.251502852974604,1.0,0.838016700240906,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23459807429013393,0.0,0.0,0.0,0.0,720.3181693788558,720.3181693788558,242026.90491129557,24274,1.0,68067732.0,5.447244107555371,0.008930166699222178,266.6386374604221,seeds,-1,1,3831.79296875,24274,
TTL-1m,28408559,12495810846.0,90613408,2.2734466254419803,0.31351385658069497,0.8380105047781712,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23232870583239318,720.2892229837084,1069.1677062988279,1450.2216796875,242017.17892252604,212.1742453858966,932.463468369605,71290.54644966125,24274,1.0,21603969.0,1.7288969292389367,0.0027347039642783002,83.5949075436387,seeds,-1,1,3831.79296875,24274,
TTL-5m,4049058,12495810846.0,90613408,0.3240332340094707,0.044684976422032376,0.8380081635792602,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2315181162925016,1297.6705992078025,1517.0682128906249,1653.083740234375,436017.32133382163,32.68018385907487,1330.3507830668773,10980.541776649157,24274,1.0,3580803.0,0.28656027560998504,0.00039350505331467174,11.9147412281218,seeds,-1,1,3831.79296875,24274,
TTL-20m,1009201,12495810846.0,90613408,0.08076314634060362,0.01113743564307834,0.8380078673073268,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2314375934921722,1552.8695860847595,1723.9231567382812,1801.6561279296875,521764.18092447915,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,921159.0,0.0737174250916954,9.723311988209795e-05,2.9696706646735485,seeds,-1,1,3831.79296875,24274,
TTL-60m,271740,12495810846.0,90613408,0.021746487950958855,0.0029988939385217693,0.8380077965555554,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23142252787037731,1761.229388881865,1883.2857116699217,1934.23486328125,591773.0746643066,2.1131601246328846,1763.3425490064978,710.0218018766493,24274,1.0,242322.0,0.019392258972739575,2.64813484319426e-05,0.7996209936557633,seeds,-1,1,3831.79296875,24274,
Historic-TTL,6464984,12495810846.0,90613408,0.5173721081148959,0.07134688058526614,0.8380084051552562,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23161411937157567,1476.1833256978837,1562.2218994140626,1667.09130859375,495997.59743448894,54.34929751394287,1530.5326232118266,18261.363964684806,24274,1.0,5260485.0,0.42097988396518654,0.0006350810493776047,19.02383502630681,seeds,-1,1,3831.79296875,24274,
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035417,0.18314917589238008,0.838009360473088,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2319341742195568,1023.7515703625149,1023.9915771484375,1024.0009765625,343980.527641805,123.97276123979735,1147.7243316023123,41654.84777657191,24274,1.0,12842907.0,1.0277770012908853,0.0015903988811749278,48.834646711943414,seeds,1024,1,3831.79296875,24274,
Planner-Popularity,25227914,12495810846.0,90613408,2.0189097218989707,0.2784125943039246,0.8380102633753981,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23221616421031774,1023.8830011065044,1023.9938354492188,1024.00146484375,344024.6883717855,229.42029126523033,1253.3032923717346,77085.21786511739,24274,1.0,19693630.0,1.576018574761323,0.0024933011911996285,74.23555479701974,seeds,1024,1,3831.79296875,24274,
BALM-JIT (ours),2828786,12495810846.0,90613408,0.22637874683462536,0.031218183516505637,0.8380079834181904,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2314767972307796,1023.743555741083,1023.9918823242188,1024.001220703125,343977.8347290039,26.291581557286047,1050.0351372983691,8833.971403248112,24274,1.0,2170380.0,0.17368860866637995,0.00021334398352210106,8.323973916830472,seeds,1024,1,3831.79296875,24274,
Oracle knapsack,897436,12495810846.0,90613408,0.07181894885094839,0.009904008907820795,0.8380078068869301,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23142312030335327,710.3676992446657,1023.8590759277344,1024.0,238683.54694620767,9.950470285809466,720.3181695304752,3343.3580160319807,4372,0.1801104061959298,492524.0,0.03941512928371996,3.681272328520316e-05,2.6407914405772197,seeds,1024,1,3831.79296875,24274,
Planner-LRU,1306979,12495810846.0,90613408,0.10459337261962263,0.014423682199437859,0.8380078964336564,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23144666690338242,1535.3837173855493,1535.9913391113282,1536.0037841796875,515888.9290415446,10.20055261333473,1545.584269998884,3427.3856780804695,24274,1.0,1168117.0,0.09348068839997868,0.0001263594495472372,3.8459109688202546,seeds,1536,1,3831.79296875,24274,
Planner-Popularity,5991460,12495810846.0,90613408,0.4794774884030763,0.06612111973539281,0.8380083874376744,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23158968161746274,1535.8094622717963,1535.99169921875,1536.004150390625,516031.9793233236,79.30838714774166,1615.1178494195378,26647.618081641198,24274,1.0,5007909.0,0.4007670299845382,0.0006173634674538165,17.63044527360256,seeds,1536,1,3831.79296875,24274,
BALM-JIT (ours),385957,12495810846.0,90613408,0.03088691120220883,0.004259380686796373,0.8380078066335183,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23142613425020175,1535.3715426581246,1535.992919921875,1536.003662109375,515884.8383331299,3.0457624891905914,1538.4173051473151,1023.3761963680387,24274,1.0,333557.0,0.026693505856546635,3.655931142115886e-05,1.1357154627526218,seeds,1536,1,3831.79296875,24274,
Oracle knapsack,0,12495810846.0,90613408,0.0,0.0,0.8380077700742069,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23141579281483418,720.3181693788558,1069.1677062988279,1450.2216796875,242026.90491129557,0.0,720.3181693788558,0.0,0,0.0,0.0,0.0,0.0,0.0,seeds,1536,1,3831.79296875,24274,
Scale-to-zero,90613408,12495810846.0,90613408,7.251502852974604,1.0,0.8380167470427369,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23460790834464446,0.0,0.0,0.0,0.0,720.3181693788558,720.3181693788558,242026.90491129557,24274,1.0,68032873.0,5.4444544526518515,0.008976968530004872,266.6386374604221,seeds,-1,2,3831.79296875,24274,
TTL-1m,28408559,12495810846.0,90613408,2.2734466254419803,0.31351385658069497,0.838010556166046,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23235324299730412,720.2892229837084,1069.1677062988279,1450.2216796875,242017.17892252604,212.1742453858966,932.463468369605,71290.54644966125,24274,1.0,22007215.0,1.7611674241247555,0.0027860918391068314,83.5949075436387,seeds,-1,2,3831.79296875,24274,
TTL-5m,4049058,12495810846.0,90613408,0.3240332340094707,0.044684976422032376,0.83800817655441,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23151936174109175,1297.6705992078025,1517.0682128906249,1653.083740234375,436017.32133382163,32.68018385907487,1330.3507830668773,10980.541776649157,24274,1.0,3583709.0,0.28679283354766616,0.0004064802030858062,11.9147412281218,seeds,-1,2,3831.79296875,24274,
TTL-20m,1009201,12495810846.0,90613408,0.08076314634060362,0.01113743564307834,0.838007869536793,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23143741002108462,1552.8695860847595,1723.9231567382812,1801.6561279296875,521764.18092447915,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,916692.0,0.07335994528865966,9.946258603481145e-05,2.9696706646735485,seeds,-1,2,3831.79296875,24274,
