policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,budget_gb,seed,full_warm_gb,n_apps,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit
Planner-LRU,79245259,12495810846.0,90613408,6.341746044064598,0.874542308352424,0.8380155357834017,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2341497389267222,127.89084393145546,127.99208068847656,127.99996948242188,42971.32356096904,626.7145072679671,754.6053511994226,210576.07444203697,24274,1.0,59385519.0,4.752434214303887,0.0077657091948459,233.18676950058264,12741401,1.0196537989432366,4338900,0.340535550211472,3199742,91986660,7.361399843007835,0.9991472182144958,11913.265439753955,12790.0,13109.0,,,,128,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
Planner-Popularity,78436753,12495810846.0,90613408,6.277043880278339,0.8656197215317186,0.8380153994762185,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2340493626623169,127.90445321363116,127.99229431152344,128.00006103515625,42975.89627978007,620.1594758608985,748.0639290745297,208373.58388926188,24274,1.0,59188087.0,4.736634359261811,0.007629402011501,230.8076631080874,291293,0.0233112523540835,41485,0.142416741905916,15324900,78728046,6.300355132632423,0.9992535407314934,11913.265439753955,12790.0,13109.0,,,,128,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),72014655,12495810846.0,90613408,5.763103802347682,0.7947461263127858,0.8380133994076835,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2334278545218791,127.9188957990162,127.9926685333252,128.0,42980.74898846944,598.1054529916672,726.0243487906835,200963.4322052002,24274,1.0,49301339.0,3.9454293608951128,0.005629333476588,211.9100242469897,7036196,0.5630843877772316,343223,0.048779624672195,12406450,79050851,6.326188190124913,0.999366373429814,11913.265439753955,12790.0,13109.0,0.0003860838792753,0.0419508737234939,0.376537039851987,128,0,3831.79296875,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
Oracle knapsack,71315463,12495810846.0,90613408,5.707149690316303,0.7870299172502153,0.8380131856312196,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2334171580964975,127.92634082824463,127.99335479736328,127.99998474121094,42983.2505182902,592.3918287579976,720.3181695862422,199043.6544626872,21390,0.8811897503501689,48582129.0,3.887873271989508,0.0054155570126681,209.85258477618615,7657330,0.6127917663263258,0,0.0,11640615,78972793,6.319941456642629,0.9994245377206612,4494.712698412698,6832.0,9355.0,0.0003850354183852,,,128,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
Planner-LRU,67812193,12495810846.0,90613408,5.426794134108326,0.748368199549453,0.838014403929,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2337291558401325,255.87701675626963,255.99182205200196,256.0001525878906,85974.67763010661,532.944399632348,788.8214163886176,179069.31827646893,24274,1.0,50828008.0,4.0676038255068825,0.006633854793034,199.54387704657543,19656872,1.5730769489274326,8251487,0.4197761983697101,12299560,87469065,6.9998710830357584,0.9995195967041784,11913.265439753955,12790.0,13109.0,,,,256,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
Planner-Popularity,67909650,12495810846.0,90613408,5.434593307863521,0.7494437247079373,0.8380143676422012,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2336539280022113,255.90037860643295,255.9927215576172,256.000244140625,85982.52721176148,536.8959523170713,792.7963309235042,180397.03997853596,24274,1.0,51449268.0,4.117321287435243,0.0065975679941666,199.8306536093881,549767,0.0439961045165776,106639,0.1939712641901023,31519451,68459417,5.4785894123800984,0.9996108539313788,11913.265439753955,12790.0,13109.0,,,,256,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),55508370,12495810846.0,90613408,4.4421583108205125,0.6125845084647958,0.8380116052633368,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2326238332630905,255.9058422323257,255.99237060546875,256.0,85984.36299006145,478.98156583119953,734.8874080635253,160937.80611928305,24274,1.0,34588415.0,2.768000846545465,0.0038351891298932,163.33869866641558,12734187,1.019076485466832,763701,0.0599724976553273,24423920,68242557,5.461234796287345,0.9996321962200224,11913.265439753955,12790.0,13109.0,0.0001885164670372,0.0419508737234939,0.376537039851987,256,0,3831.79296875,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
Oracle knapsack,53623467,12495810846.0,90613408,4.291315518525575,0.5917829180423276,0.838011252648861,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2325294359986599,255.9178495573619,255.99267578125,256.0,85988.3974512736,464.40031905552695,720.3181686128888,156038.50720265706,18565,0.764810084864464,32210479.0,2.5777021913156446,0.0034825746540851,157.7921909391589,14385922,1.1512595842954072,0,0.0,22604019,68009389,5.442575102820983,0.9996790998334448,4494.712698412698,6832.0,9355.0,0.0001914735839966,,,256,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (PMF),55313718,12495810846.0,90613408,4.4265809303368515,0.6104363495521545,0.8380117027823263,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2326281869131956,255.905378779154,255.99234008789065,256.0,85984.20726979573,477.5337984191047,733.4391771982587,160451.35626881916,24274,1.0,34875073.0,2.790941174590824,0.0039327081194807,162.76591650090043,12585577,1.0071836998099837,893599,0.0710018301107688,24536801,67899295,5.433764630146834,0.9996303858560702,11913.265439753955,12790.0,13109.0,0.0001855202427367,0.0557390150168552,0.376537039851987,256,0,3831.79296875,24274,136149314.0,3838096.0,9654214.0,3032688.0,5211240.0,2560070.0,2831853.0,1450664.0,2980395.0,1744584.0,3015445.0,1945209.0,4693028.0,3406491.0,8155155.0,6334535.0,6933676.0,6043329.0,60535198.0,60073288.0
Planner-LRU,44846312,12495810846.0,90613408,3.5889077189701246,0.4949191625151103,0.8380121314145637,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2329047443684211,511.852914454445,511.9923706054687,512.0007934570312,171982.5792566935,345.396739211915,857.24965366636,116053.30437520346,24274,1.0,33686521.0,2.695825138132857,0.0043613403567859,131.96457114608222,28142327,2.252140925213234,15613776,0.5548146747068926,35899079,72988639,5.841048644183358,0.999712723543838,11913.265439753955,12790.0,13109.0,,,,512,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
