policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,budget_gb,seed,full_warm_gb,n_apps,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit
Oracle knapsack,913368,12495810846.0,90613408,0.0730939361403966,0.0100798327770653,0.8380078071068056,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314231907757752,710.3677577730209,1023.8563354492188,1023.999755859375,238683.56661173503,9.950411743043906,720.3181695160648,3343.338345662753,4429,0.1824585976765263,487397.0,0.0390048317797655,3.7032598562543965e-05,2.68767287750562,28291830,2.2641051748199614,0,0.0,61408210,29205198,2.337199110960358,0.6937185134502157,4494.712698412698,6832.0,9355.0,4.9613109182919175e-06,,,1024,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (PMF),2827799,12495810846.0,90613408,0.2262997603637061,0.0312072910887536,0.8380079844387931,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314754364883494,1023.8511376396058,1023.9920043945312,1024.0,344013.98224690754,26.316504798078583,1050.1676424376844,8842.345612154404,24274,1.0,2138857.0,0.1711659232329579,0.0002143645861287,8.321069574736049,24226611,1.93877862737936,10045737,0.4146571305412878,105487414,27054410,2.1650783877430664,0.9998546266011776,11913.265439753955,12790.0,13109.0,5.325682041707721e-06,0.0557390150168552,0.376537039851987,1024,0,3831.79296875,24274,136149314.0,3838096.0,9654214.0,3032688.0,5211240.0,2560070.0,2831853.0,1450664.0,2980395.0,1744584.0,3015445.0,1945209.0,4693028.0,3406491.0,8155155.0,6334535.0,6933676.0,6043329.0,60535198.0,60073288.0
Planner-LRU,1306979,12495810846.0,90613408,0.1045933726196226,0.0144236821994378,0.8380079005045814,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314464849327969,1535.3837173855493,1535.9913391113282,1536.0037841796875,515888.9290415446,10.20055261333473,1545.584269998884,3427.3856780804695,24274,1.0,1161748.0,0.0929709975861137,0.0001304303744477,3.845910968820254,2339892,0.187254114905958,2112432,0.9027903851972656,195677075,3646871,0.2918474875255806,0.9995987743395504,11913.265439753955,12790.0,13109.0,,,,1536,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
Planner-Popularity,5991460,12495810846.0,90613408,0.4794774884030763,0.0661211197353928,0.8380083866737851,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231580528290687,1535.8094622717963,1535.99169921875,1536.004150390625,516031.9793233236,79.30838714774166,1615.1178494195378,26647.6180816412,24274,1.0,4950329.0,0.3961590857134842,0.0006165995780525,17.63044527360256,502975,0.0402514895750847,320990,0.6381828122670112,211676889,6494435,0.519728977978161,0.9998759519998672,11913.265439753955,12790.0,13109.0,,,,1536,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),331496,12495810846.0,90613408,0.0265285705814052,0.0036583548430272,0.8380078013425704,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314241117427869,1535.818204165262,1535.9927978515625,1536.0,516034.916599528,2.6206882364493573,1538.4388924017112,880.551247446984,24274,1.0,287024.0,0.0229696178613233,3.126836341259593e-05,0.97545875069151,8084819,0.6470023513990698,5820506,0.7199302792060033,190348463,8416315,0.673530921980475,0.9998816433367592,11913.265439753955,12790.0,13109.0,6.288869513665953e-08,0.0419508737234939,0.376537039851987,1536,0,3831.79296875,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
Oracle knapsack,0,12495810846.0,90613408,0.0,0.0,0.8380077700742069,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314157928148341,720.3181693788558,1069.167706298828,1450.2216796875,242026.90491129557,0.0,720.3181693788558,0.0,0,0.0,0.0,0.0,0.0,0.0,28408559,2.2734466254419803,0,0.0,62204849,28408559,2.2734466254419803,0.4689571415226926,4494.712698412698,6832.0,9355.0,0.0,,,1536,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (PMF),379097,12495810846.0,90613408,0.0303379272199332,0.0041836744513571,0.838007806321926,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314256863945091,1535.8181170448424,1535.99267578125,1536.0001220703125,516034.88732706703,2.9923325083728525,1538.8104495532152,1005.4237228132783,24274,1.0,325682.0,0.0260632946524037,3.624771904086246e-05,1.1155292552878449,7640979,0.6114832477994762,5696208,0.7454814363447406,190912936,8020076,0.6418211750194094,0.999881586617736,11913.265439753955,12790.0,13109.0,2.013760341139892e-08,0.0557390150168552,0.376537039851987,1536,0,3831.79296875,24274,136149314.0,3838096.0,9654214.0,3032688.0,5211240.0,2560070.0,2831853.0,1450664.0,2980395.0,1744584.0,3015445.0,1945209.0,4693028.0,3406491.0,8155155.0,6334535.0,6933676.0,6043329.0,60535198.0,60073288.0
Planner-LRU,338034,12495810846.0,90613408,0.0270517859277781,0.0037305075204764,0.8380078036905624,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314237373357089,1776.3963692831614,1791.9880432128907,1792.003662109375,596869.1800791422,2.6265566526132353,1779.0229259357748,882.5230352780471,24274,1.0,301718.0,0.0241455319481394,3.3616355533185396e-05,0.9946974422956956,629060,0.0503416711210354,562775,0.8946284933074746,228534204,967094,0.0773934570488135,0.9912926167874784,11913.265439753955,12790.0,13109.0,,,,1792,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
Planner-Popularity,1444424,12495810846.0,90613408,0.1155926588359306,0.0159405107023455,0.8380079252777206,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231450784842683,1777.3834488459995,1791.9835205078125,1792.0048828125,597200.8388122559,24.95413782707497,1802.3375866730744,8384.590309897188,24274,1.0,1261079.0,0.1009201416011895,0.0001552035136836,4.250356054096682,263861,0.0211159566395376,193601,0.7337234377191021,234493153,1708285,0.1367086154754682,0.9918434424363836,11913.265439753955,12790.0,13109.0,,,,1792,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),217370,12495810846.0,90613408,0.0173954297707364,0.002398872361141,0.8380077907993251,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314210643350972,1777.4298882499577,1791.988525390625,1792.0,597216.4424519857,1.7014932291685707,1779.131381479126,571.7017250006397,24274,1.0,190255.0,0.0152255025579954,2.0725118219475247e-05,0.6396320578161231,2174625,0.1740283225154703,1931086,0.8880087371385871,227643105,2391995,0.1914237522862067,0.9918693572823424,11913.265439753955,12790.0,13109.0,3.3973942507725617e-10,0.0419508737234939,0.376537039851987,1792,0,3831.79296875,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
Oracle knapsack,0,12495810846.0,90613408,0.0,0.0,0.8380077700742069,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314157928148341,720.3181693788558,1069.167706298828,1450.2216796875,242026.90491129557,0.0,720.3181693788558,0.0,0,0.0,0.0,0.0,0.0,0.0,28408559,2.2734466254419803,0,0.0,62204849,28408559,2.2734466254419803,0.4019632641623079,4494.712698412698,6832.0,9355.0,0.0,,,1792,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
