policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_per_app_p50,cold_per_app_p90,cold_per_app_p99,cold_per_app_max,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,eval_start,eval_minutes,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,audited_candidates,predictor_brier,predictor_auroc,predictor_auprc,knapsack_gap_max,subminute_extra_cold,subminute_extra_per_1k,cold_plus_subminute_per_1k,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit,budget_gb,seed,n_apps,full_warm_gb
BALM with hazard estimator (Eq. 7),2420243,12495810846.0,90613408,0.19368434988552483,0.02670954611926747,0.8380079267466239,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145592144816352,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,14.0,274.0,1267.5400000000009,5575.0,1689531.0,0.135207792501183,0.00015667241708706967,7.121796984427783,0,20160,25170738,2.014334108463024,10181802,0.40450947445402674,104547568,27590981,2.2080184583485494,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.04195087372349391,0.37653703985198705,240159518.0,0.04195022076582241,0.9865878424237493,0.980469134561285,0.00023941660433455183,505452.92278910434,0.040449789855045985,0.23413413974057082,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,1024,0,24274,3831.793
with marginal gap PMF instead,2827799,12495810846.0,90613408,0.22629976036370614,0.031207291088753666,0.8380079844387931,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2314754364883494,1023.8511376396058,1023.9920043945312,1024.0,344013.98224690754,26.316504798078583,1050.1676424376844,8842.345612154404,24274,1.0,17.0,350.0,1214.2700000000004,3606.0,2138857.0,0.17116592323295798,0.0002143645861287073,8.321069574736049,0,20160,24226611,1.93877862737936,10045737,0.41465713054128783,105487414,27054410,2.1650783877430664,0.9998546266011775,11913.265439753955,12790.0,13109.0,5.325682041707721e-06,0.05573901501685527,0.37653703985198705,240159518.0,0.05573821923032631,0.9802983638936809,0.9713936716153766,0.00021432689588295894,464199.64530108764,0.037148421260688444,0.26344818162439454,136149314.0,3838096.0,9654214.0,3032688.0,5211240.0,2560070.0,2831853.0,1450664.0,2980395.0,1744584.0,3015445.0,1945209.0,4693028.0,3406491.0,8155155.0,6334535.0,6933676.0,6043329.0,60535198.0,60073288.0,1024,0,24274,3831.793
without per-application histogram,14246384,12495810846.0,90613408,1.1400928019457313,0.1572215891052238,0.8380085838302137,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2316272868693925,1023.8499631639511,1023.99169921875,1024.0,344013.5876230876,139.7988361317014,1163.6487992956525,46972.40894025167,24274,1.0,26.0,1574.0,8838.500000000022,20154.0,8218323.0,0.6576862519194379,0.000813756006857071,41.92135029837922,0,20160,21756394,1.7410950172124589,12758840,0.586440933180379,117571582,36002778,2.8811878191581903,0.999853479652296,11913.265439753955,12790.0,13109.0,3.169518185262916e-05,0.1556454341904676,0.37653703985198705,240159518.0,0.15564576858759976,0.8285651359197451,0.6622174289914463,0.00030932223722932077,709400.5849479665,0.05677107261711238,1.1968638745628437,62070584.0,1438591.0,19258758.0,3069679.0,32171726.0,7893456.0,23093504.0,7272731.0,407396.0,198546.0,76241.0,50994.0,102892288.0,70489252.0,0.0,0.0,0.0,0.0,189021.0,15705.0,1024,0,24274,3831.793
without memory awareness,2909663,12495810846.0,90613408,0.23285107592128798,0.03211073354618778,0.8380079435972774,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2314598275796404,1023.7496820570931,1023.9923736572266,1024.0018310546875,343979.89317118324,22.621526329821005,1046.371208386914,7600.832846819858,24274,1.0,15.0,339.0,1443.6200000000026,3629.0,1843430.0,0.14752384000675678,0.00017352307060384728,8.561962240610177,0,20160,25490423,2.0399174822784447,10321466,0.4049154460873403,102311230,28400086,2.272768558199733,0.99975554888388,11913.265439753955,12790.0,13109.0,,0.04195087372349391,0.37653703985198705,240159518.0,0.04195022076582241,0.9865878424237493,0.980469134561285,,510528.80397133715,0.040855996482594095,0.2737070724038821,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,1024,0,24274,3831.793
with 15-min gap resolution,2773190,12495810846.0,90613408,0.22192957577360564,0.03060463193261642,0.838007982626985,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23146639041504735,1023.8503669980972,1023.9920654296875,1024.0,344013.7233113607,25.84331177802431,1049.6936787761215,8683.352757416169,24274,1.0,14.0,338.0,1191.3500000000022,4660.0,2130007.0,0.1704576858797307,0.0002125527779223249,8.160377358490566,0,20160,22152494,1.7727936404456037,8510603,0.38418261167343054,107416293,24925684,1.9947232162192094,0.9998538740215793,9649.644277989979,10786.0,11278.0,7.547867196822866e-06,0.049422316977726324,0.45959781280743295,194527179.0,0.049422266586145014,0.9840039154572638,0.9824127869068053,0.0002360556117405378,443793.98507114366,0.03551542117118437,0.25744499694478995,82232289.0,998487.0,10063402.0,1450971.0,5719147.0,1380850.0,3917763.0,1363747.0,3512584.0,1596807.0,3051959.0,1660202.0,3972362.0,2612958.0,8144332.0,6119405.0,7237369.0,6110193.0,66675972.0,66110646.0,1024,0,24274,3831.793
seasonal + momentum predictor,18921200,12495810846.0,90613408,1.5142034585180053,0.2088123647220067,0.8380088267850891,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23168015593975377,1023.8561863732716,1023.9917022705079,1024.0008544921875,344015.6786214193,179.7944013200109,1203.6505876932824,60410.918843523665,24274,1.0,28.0,2690.0,10733.350000000002,20159.0,10886685.0,0.871226776250771,0.0010567108822285636,55.67744441436457,0,20160,11822904,0.9461494052452465,9593987,0.8114746596944372,129719770,30744104,2.460352863763252,0.9998595570051481,11913.704548836748,12790.0,13109.0,,,,0.0,,,,,347117.58588963415,0.027778716416850133,1.5419821749348555,,,,,,,,,,,,,,,,,,,,,1024,0,24274,3831.793
BALM with hazard estimator (Eq. 7),81016070,12495810846.0,90613408,6.483458416460732,0.8940847915134149,0.8380146376339814,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.2339681364316793,63.92593017759777,63.99343147277832,63.99998092651367,21479.112539672853,658.6708808036078,722.5968109812056,221313.41595001222,24274,1.0,303.5,13588.300000000007,20160.0,20160.0,58281970.0,4.6641206975901435,0.006867559774482148,238.39755058322248,0,20160,3642728,0.2915159364120868,159940,0.043906654573166046,6302201,84658798,6.774974352872819,0.9988426590249652,11913.265439753955,12790.0,13109.0,0.0007863341557365123,0.04195087372349391,0.37653703985198705,240159518.0,0.04195022076582241,0.9865878424237493,0.980469134561285,0.0035731115611451177,311032.8028625739,0.024890965996187255,6.5083493824569185,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,64,0,24274,3831.793
